gender,age_group,region,zona,gse_group,education,indigenous,religion,ideology,interest_politics,presidential_vote,plebiscite_vote,abortion_opinion
Woman,Adult,METROPOLITANA,Urban,Middle,Low,Non-Indigenous,Not Religious,Right,Not at all interested,José Antonio Kast,Reject,Legal only in specific cases
Man,Senior Adult,MAULE,Urban,Middle,Low,Non-Indigenous,Religious,Center,Not at all interested,nulo,Reject,Always illegal
Woman,Senior Adult,VALPARAÍSO,Urban,Middle,Medium,Non-Indigenous,Not Religious,Center,Not at all interested,nulo,nulo,Legal only in specific cases
Woman,Adult,VALPARAÍSO,Urban,Middle,Medium,Non-Indigenous,Religious,Center,Not very interested,Gabriel Boric,Reject,Always legal
Woman,Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Not Religious,Left,Not very interested,Gabriel Boric,Approve,Legal only in specific cases
Woman,Adult,MAULE,Urban,Middle,High,Non-Indigenous,Religious,Right,Not very interested,José Antonio Kast,Reject,Legal only in specific cases
Man,Young Adult,MAULE,Urban,Middle,Medium,Non-Indigenous,Religious,Center,Not very interested,Gabriel Boric,Approve,Always legal
Woman,Young Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Not Religious,Center,Not very interested,Gabriel Boric,Approve,Always legal
Woman,Adult,METROPOLITANA,Urban,High,High,Non-Indigenous,Not Religious,Center,Not very interested,Gabriel Boric,Approve,Legal only in specific cases
Man,Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Not Religious,Center,Not very interested,nulo,Reject,Legal only in specific cases
Woman,Adult,METROPOLITANA,Urban,Middle,Low,Non-Indigenous,Not Religious,Left,Somewhat interested,Gabriel Boric,Approve,Always legal
Man,Senior Adult,METROPOLITANA,Urban,Middle,Low,Non-Indigenous,Religious,Center,Not at all interested,Gabriel Boric,Approve,Legal only in specific cases
Man,Young Adult,METROPOLITANA,Urban,Low,Low,Non-Indigenous,Not Religious,Center,Not very interested,Gabriel Boric,Reject,Legal only in specific cases
Woman,Adult,VALPARAÍSO,Urban,Low,Medium,Indigenous,Not Religious,Center,Not very interested,Gabriel Boric,Approve,Always legal
Man,Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Religious,Left,Not very interested,Gabriel Boric,Reject,Legal only in specific cases
Woman,Adult,METROPOLITANA,Urban,Middle,Medium,Indigenous,Religious,Center,Not at all interested,Gabriel Boric,Reject,Legal only in specific cases
Man,Senior Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Religious,None,Not very interested,nulo,Reject,Always legal
Man,Senior Adult,METROPOLITANA,Urban,Middle,Low,Non-Indigenous,Not Religious,Center,Not very interested,Gabriel Boric,Approve,Legal only in specific cases
Man,Adult,METROPOLITANA,Urban,Middle,High,Non-Indigenous,Religious,Center,Somewhat interested,Gabriel Boric,Approve,Always legal
Woman,Young Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Not Religious,Center,Not very interested,Gabriel Boric,Approve,Always legal
Woman,Adult,VALPARAÍSO,Urban,Low,Medium,Non-Indigenous,Religious,Center,Not very interested,Gabriel Boric,Approve,Legal only in specific cases
Man,Young Adult,LIBERTADOR BERNARDO OHIGGINS,Urban,Middle,Medium,Indigenous,Not Religious,Left,Not very interested,Gabriel Boric,Approve,Always legal
Woman,Senior Adult,LIBERTADOR BERNARDO OHIGGINS,Urban,Middle,Low,Non-Indigenous,Religious,None,Not at all interested,nulo,nulo,Always illegal
Woman,Adult,LIBERTADOR BERNARDO OHIGGINS,Urban,Low,Medium,Non-Indigenous,Religious,Right,Not at all interested,José Antonio Kast,Reject,Always illegal
Man,Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Religious,Center,Not very interested,José Antonio Kast,Reject,Always legal
Woman,Adult,METROPOLITANA,Urban,Middle,Medium,Non-Indigenous,Religious,Right,Somewhat interested,Gabriel Boric,Reject,Legal only in specific cases
Man,Young Adult,BIOBÍO,Urban,Middle,High,Non-Indigenous,Religious,Center,Not very interested,nulo,Approve,Legal only in specific cases
Man,Adult,MAULE,Urban,Low,Medium,Non-Indigenous,Religious,Center,Very interested,José Antonio Kast,Reject,Legal only in specific cases
Man,Adult,METROPOLITANA,Urban,Middle,High,Non-Indigenous,Religious,Right,Somewhat interested,José Antonio Kast,Reject,Legal only in specific cases
