gender,age_group,region,zona,race,education,income,ideology,party,religion,interest_politics,presidential_vote,abortion_opinion
Woman,Adult,California,Rural,Non-White,Medium,Middle Income,Center,Independent,Not Religious,Not very interested,Jo Jorgensen,Always legal
Woman,Adult,Virginia,Rural,White,Medium,Middle Income,Left,Independent,Not Religious,Very interested,Joe Biden,Always legal
Man,Adult,California,Urban,Non-White,Medium,Low Income,Left,Republican,Religious,Not very interested,Joe Biden,Always illegal
Man,Senior Adult,Florida,Rural,Non-White,High,High Income,Right,Independent,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Texas,Rural,White,Medium,Low Income,Center,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Georgia,Urban,White,Medium,Low Income,Center,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,California,Rural,Non-White,Medium,Middle Income,None,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,,Rural,Non-White,Medium,Low Income,None,Democrat,Religious,Not at all interested,Joe Biden,Always illegal
Man,Adult,Wisconsin,Urban,White,Medium,Middle Income,Center,Democrat,Not Religious,Not very interested,Joe Biden,Legal only in specific cases
Woman,Adult,Oregon,Rural,White,Medium,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Always legal
Man,Adult,Massachusetts,Rural,White,High,High Income,Left,Independent,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Illinois,Rural,White,High,,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Wisconsin,Rural,White,Medium,Low Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,,Urban,Non-White,Low,Low Income,Center,Democrat,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Man,Young Adult,New York,Rural,White,High,High Income,Left,Independent,Not Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,Michigan,Rural,White,High,Low Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,North Carolina,Rural,White,Low,Low Income,None,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Ohio,Rural,White,High,High Income,Right,Independent,Religious,Not very interested,Donald Trump,Always legal
Man,Senior Adult,New York,Urban,White,High,High Income,Right,Republican,Religious,Very interested,Joe Biden,Always legal
Man,Adult,Arizona,Rural,Non-White,Medium,Middle Income,Center,Democrat,Not Religious,Not at all interested,Joe Biden,Always legal
Man,Senior Adult,Massachusetts,Urban,White,High,High Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,New York,Rural,White,High,High Income,Left,Democrat,Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,Texas,Rural,White,High,Low Income,None,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Illinois,Rural,Non-White,Medium,Low Income,None,Democrat,Not Religious,Somewhat interested,Joe Biden,Always illegal
Woman,Adult,Ohio,Rural,White,High,Low Income,Left,Independent,Not Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,Texas,Urban,White,High,Low Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Woman,Adult,Pennsylvania,Rural,Non-White,Medium,Low Income,Center,Democrat,Not Religious,Somewhat interested,Joe Biden,Always illegal
Man,Adult,New Mexico,Rural,White,High,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Woman,Adult,Kansas,Urban,White,High,High Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Missouri,Urban,White,Medium,Low Income,Right,Republican,Not Religious,Somewhat interested,Donald Trump,Always legal
Man,Senior Adult,Pennsylvania,Urban,White,Medium,Low Income,Left,Democrat,Religious,Very interested,Joe Biden,Legal only in specific cases
Man,Adult,Minnesota,Urban,White,High,High Income,Left,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,California,Rural,Non-White,High,Middle Income,Center,Republican,Religious,Not very interested,Donald Trump,Always illegal
Man,Senior Adult,Kansas,Rural,White,High,Middle Income,Right,Independent,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Virginia,Rural,Non-White,High,,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Pennsylvania,Urban,,Medium,,Center,Independent,Religious,Somewhat interested,Jo Jorgensen,Legal only in specific cases
Woman,Senior Adult,Michigan,Rural,White,High,Low Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Man,,New York,Rural,White,High,High Income,Left,Independent,Religious,Very interested,Joe Biden,Always legal
Man,Adult,Ohio,Urban,White,Medium,Low Income,Center,Republican,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Man,Adult,Texas,Urban,White,Medium,Middle Income,Right,Independent,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Illinois,Rural,White,High,High Income,Right,Independent,Religious,Not at all interested,Joe Biden,Always legal
Man,Senior Adult,Florida,Rural,White,High,Low Income,Left,Democrat,Religious,Very interested,Joe Biden,Legal only in specific cases
Man,Adult,New Jersey,Rural,White,High,High Income,Left,Independent,Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,California,Rural,White,Medium,Middle Income,Center,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,California,Urban,Non-White,Medium,Middle Income,Right,Independent,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,New Jersey,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Donald Trump,Always legal
Woman,Adult,Colorado,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Woman,Adult,Illinois,Urban,Non-White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Maryland,Urban,White,High,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,Minnesota,Urban,White,Medium,Low Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Pennsylvania,Rural,White,Medium,Middle Income,None,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,,Pennsylvania,Urban,White,Medium,Middle Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Pennsylvania,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,New York,Rural,White,Medium,Low Income,Center,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Illinois,Urban,White,Medium,,Right,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,Oklahoma,Urban,White,High,Middle Income,Right,Independent,Religious,Very interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Oregon,Rural,White,Medium,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Woman,Adult,Delaware,Urban,White,High,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Adult,Florida,Rural,White,High,High Income,Left,Democrat,Religious,Very interested,Joe Biden,Legal only in specific cases
Woman,Adult,California,Rural,Non-White,Medium,Low Income,Center,Democrat,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,West Virginia,Urban,White,High,Middle Income,Left,Independent,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Pennsylvania,Rural,White,High,High Income,Right,Republican,Not Religious,Not at all interested,Donald Trump,Always legal
Woman,Young Adult,Oklahoma,Urban,White,Medium,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Always illegal
Man,Senior Adult,Ohio,Rural,White,Medium,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,Michigan,Urban,Non-White,High,Middle Income,Right,Independent,Not Religious,Somewhat interested,Donald Trump,Always legal
Woman,Senior Adult,Kansas,Rural,White,High,High Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Adult,Massachusetts,Urban,White,Medium,Middle Income,Left,Independent,Not Religious,Very interested,Joe Biden,Legal only in specific cases
Woman,Adult,New York,Rural,Non-White,High,Middle Income,Center,Democrat,Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,,Urban,White,High,Low Income,Left,Democrat,Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,Washington,Urban,White,Medium,Low Income,Center,Independent,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,California,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,Idaho,Urban,White,Medium,Low Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Indiana,Urban,White,High,Middle Income,Right,Republican,Not Religious,Somewhat interested,Donald Trump,Always illegal
Woman,Senior Adult,Pennsylvania,Urban,White,Low,Low Income,Left,Democrat,Religious,Not very interested,Joe Biden,Always legal
Woman,Senior Adult,Maryland,Urban,White,Medium,Low Income,Right,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Massachusetts,Urban,White,Medium,Low Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Pennsylvania,Urban,White,Medium,Middle Income,Center,Republican,Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,,Urban,Non-White,High,High Income,Right,Republican,Not Religious,Not very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Ohio,Urban,White,Medium,Low Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Massachusetts,Urban,Non-White,High,Middle Income,Center,Republican,Religious,Somewhat interested,Donald Trump,Always legal
Woman,Senior Adult,New Jersey,Rural,Non-White,Medium,Middle Income,Center,Democrat,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Man,Adult,New York,Rural,Non-White,High,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Adult,Pennsylvania,Rural,Non-White,Medium,Middle Income,None,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,,,Urban,,High,,Right,Republican,,Very interested,Donald Trump,Legal only in specific cases
Woman,Young Adult,Oregon,Rural,White,High,,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Wisconsin,Urban,White,Medium,High Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Always illegal
Woman,Senior Adult,Arizona,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,Pennsylvania,Rural,Non-White,High,High Income,Left,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,Missouri,Rural,White,Medium,High Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Woman,Adult,Georgia,Rural,White,High,Middle Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Utah,Urban,White,High,Middle Income,Left,Independent,Not Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,New Hampshire,Rural,White,Medium,,Right,Independent,Not Religious,Somewhat interested,Joe Biden,Always illegal
Man,Adult,Kentucky,Rural,White,High,High Income,Right,Republican,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,Illinois,Rural,White,High,Low Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,California,Urban,White,Medium,Low Income,Right,Independent,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,New York,Urban,White,High,High Income,Left,Independent,Not Religious,Not very interested,Other,Always legal
Man,Senior Adult,Louisiana,Urban,White,Medium,Low Income,Center,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Minnesota,Rural,White,Medium,Middle Income,Center,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Woman,Adult,Illinois,Rural,White,Medium,Middle Income,None,Democrat,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Adult,New Jersey,Rural,Non-White,High,Middle Income,Left,Independent,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,New Jersey,Rural,Non-White,Medium,Low Income,Right,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Man,Adult,Massachusetts,Urban,Non-White,High,High Income,Left,Democrat,Religious,Very interested,Joe Biden,Always legal
Man,Adult,New York,Rural,Non-White,Medium,High Income,Center,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Michigan,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,,Urban,White,Medium,High Income,Right,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,South Carolina,Urban,White,Low,Low Income,Left,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Illinois,Urban,White,Medium,Middle Income,Right,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Missouri,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
