,Unnamed: 0.1,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,church,discuss_politics,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,religion_14,pred
0,2177,1,2,52,3,4,5,2,1,1,2,39,2,6,20,3,option #2: Abortion should only be allowed in special cases.
1,4930,2,1,27,4,99,1,2,1,1,1,18,11,2,1,2,option 3) Abortion should be an option for women in any case.
2,1835,1,2,67,2,6,7,2,1,1,2,20,1,6,-9,2,option 1) Abortion should always be prohibited.
3,691,1,2,58,3,4,3,2,2,1,1,55,12,6,15,3,abortion should be an option for women in any case.
4,1593,3,2,44,1,2,1,2,2,1,1,26,1,4,17,3, option #3 - Abortion should be an option for women in any case.
5,765,1,2,72,2,3,1,4,1,2,1,39,2,2,1,3, option #3: Abortion should be an option for women in any case.
6,1669,1,1,63,2,99,7,2,2,1,2,33,2,2,15,2,option number one: Abortion should always be prohibited.
7,1839,1,1,72,3,6,7,1,1,1,2,39,1,8,18,2,option 1) Abortion should always be prohibited.
8,4063,2,2,48,3,2,1,1,1,1,1,24,11,3,21,3,option three: Abortion should be an option for women in any case. I believe in a woman's right to make decisions about her own body and reproductive health.
9,1471,1,1,69,4,6,7,2,1,1,2,49,4,6,5,1,option 1) Abortion should always be prohibited.
10,1487,1,1,67,3,3,2,3,2,2,1,17,2,2,16,2,option 2) Abortion should only be allowed in special cases.
11,4663,2,2,60,4,5,3,2,1,1,1,51,1,8,2,1,option two: Abortion should only be allowed in special cases.
12,1128,3,1,62,2,4,7,2,1,1,2,48,11,2,10,1,option two: Abortion should only be allowed in special cases.
13,1586,1,1,61,4,4,1,2,2,1,1,17,10,6,20,3,"option  
3) Abortion should be an option for women in any case."
14,1095,1,1,56,4,6,5,2,1,1,2,17,1,6,12,2,"option #2, abortion should only be allowed in special cases."
15,4371,1,1,80,3,4,2,2,2,1,1,6,2,6,19,3,Abortion should be an option for women in any case.
16,2409,1,1,35,4,1,1,1,2,1,1,36,9,7,21,3,option #3: Abortion should be an option for women in any case.
17,676,1,2,63,2,3,1,2,1,1,1,55,11,5,11,3, option number three: Abortion should be an option for women in any case.
18,2900,4,1,46,3,4,2,4,2,1,1,36,2,6,22,2,abortion should be an option for women in any case.
19,4100,1,2,42,3,5,5,2,1,1,1,37,3,6,19,2,Option 2) Abortion should only be allowed in special cases.
20,5238,1,1,72,2,6,7,3,2,1,2,26,2,7,16,2,option number two: Abortion should only be allowed in special cases.
21,2101,6,2,38,3,6,7,2,1,1,2,6,11,6,17,2,option #2: Abortion should only be allowed in special cases.
22,2521,1,2,31,4,3,2,3,2,1,1,5,11,6,18,3,option #3: Abortion should be an option for women in any case.
23,4262,2,2,41,1,99,2,2,2,1,1,36,11,2,6,3,3) Abortion should be an option for women in any case.
24,2103,1,1,54,3,5,5,2,1,1,2,17,12,2,13,2,option 2) Abortion should only be allowed in special cases.
25,3112,1,2,50,3,4,2,1,2,1,1,55,2,6,21,3,option number two: Abortion should only be allowed in special cases.
26,325,1,2,69,2,6,5,3,2,1,2,20,1,6,14,2,option 2) Abortion should only be allowed in special cases.
27,5666,2,2,58,2,4,1,2,1,1,1,37,11,4,2,3,option three: Abortion should be an option for women in any case.
28,3193,1,2,73,2,2,1,1,2,1,1,17,10,6,14,3,option number three: Abortion should be an option for women in any case.
29,4519,1,2,77,1,6,7,2,1,1,2,12,1,3,9,2,option 1) Abortion should always be prohibited.
30,2488,4,2,35,3,4,5,2,1,1,2,48,2,8,22,3,option number two: Abortion should only be allowed in special cases.
31,426,1,1,38,3,4,4,2,2,1,1,51,9,6,21,3,Abortion should be an option for women in any case.
32,4650,1,2,59,1,99,1,3,1,1,1,17,1,3,4,3,Abortion should be an option for women in any case.
33,2585,1,2,65,3,2,2,2,2,1,1,11,11,7,20,3, option number three: Abortion should be an option for women in any case. I believe in a woman's right to make decisions about her own body and reproductive health.
34,101,1,1,64,4,4,1,1,2,1,1,27,12,4,15,3, option number three: Abortion should be an option for women in any case.
35,80,4,1,80,2,6,7,3,2,2,2,59,12,8,22,2,abortion should only be allowed in special cases.
36,5274,1,1,38,2,99,7,2,1,1,2,13,3,3,1,2,option one: Abortion should always be prohibited.
37,1421,1,2,72,2,2,3,2,2,2,1,25,12,6,17,3,option number three: Abortion should be an option for women in any case.
38,401,6,2,36,2,1,1,1,2,1,1,6,9,7,20,3,option #3: Abortion should be an option for women in any case.
39,2704,3,2,31,4,99,3,3,2,1,1,48,11,95,8,1,Abortion should be an option for women in any case.
40,926,4,1,47,2,4,1,3,2,1,1,29,7,6,10,2,option number three: Abortion should be an option for women in any case.
41,5401,1,1,52,2,6,5,1,1,1,2,37,11,4,12,2,option (2) Abortion should only be allowed in special cases.
42,534,1,1,73,2,6,7,2,2,1,2,36,2,6,10,2,option number one: Abortion should always be prohibited.
43,2321,2,2,73,4,3,1,1,1,1,1,1,1,3,1,3,option #3: Abortion should be an option for women in any case.
44,2534,1,1,53,2,6,7,1,1,1,2,37,2,6,17,2, option 2) Abortion should only be allowed in special cases.
45,3659,1,1,29,3,4,4,1,2,1,3,36,9,8,11,3,option three: Abortion should be an option for women in any case.
46,3176,4,2,48,4,99,4,1,1,1,1,6,-9,3,21,3,option 3) Abortion should be an option for women in any case.
47,2135,1,1,80,4,3,1,1,1,1,1,48,1,7,15,3,option 3) Abortion should be an option for women in any case. I believe in a woman's right to make decisions about her own body and reproductive health.
48,2031,1,2,63,1,7,7,4,1,1,2,23,11,2,22,1,option 1) Abortion should always be prohibited.
49,3542,1,1,63,2,3,3,2,2,1,1,23,2,6,-9,3,option 3) Abortion should be an option for women in any case.
50,811,1,2,75,3,5,6,4,2,2,1,17,10,5,12,3,Abortion should only be allowed in special cases.
51,4347,1,2,73,2,3,3,4,2,1,1,37,1,4,17,3,option #3: Abortion should be an option for women in any case.
52,2004,-9,-9,47,3,3,1,2,1,1,1,17,2,7,-9,3,option number three: Abortion should be an option for women in any case.
53,4762,1,2,51,4,7,6,3,1,1,2,48,1,6,16,1,option 1) Abortion should always be prohibited.
54,2347,6,2,59,4,4,5,2,1,1,2,24,2,3,17,1,"option number two, abortion should only be allowed in special cases."
55,4233,1,1,63,3,3,1,2,2,1,1,36,2,3,11,3,option number three: Abortion should be an option for women in any case.
56,4383,1,2,66,3,6,7,1,1,1,2,6,1,5,16,2,abortion should only be allowed in special cases.
57,2687,1,1,69,4,2,3,1,2,1,1,18,10,6,2,3,Option three: Abortion should be an option for women in any case.
58,501,1,2,26,3,99,7,3,2,1,2,29,12,3,16,2,option two: Abortion should only be allowed in special cases.
59,1988,3,2,24,2,4,1,2,1,1,1,48,2,4,17,3,abortion should be an option for women in any case.
60,3203,1,2,65,3,2,1,1,2,1,1,17,12,6,15,3,option #3: Abortion should be an option for women in any case.
61,3336,2,1,44,4,4,2,3,1,1,1,12,11,2,17,3,Abortion should be an option for women in any case.
62,1244,1,1,69,4,2,1,2,2,1,1,18,9,6,8,3,option number 3 - Abortion should be an option for women in any case.
63,5583,1,2,69,3,2,1,2,2,1,1,34,2,7,20,3,Abortion should be an option for women in any case.
64,683,3,1,45,3,4,2,2,2,1,1,6,2,8,22,3,option number two: Abortion should only be allowed in special cases.
65,748,3,1,37,4,2,4,2,2,1,1,18,11,2,10,3, option number three: Abortion should be an option for women in any case.
66,2751,1,1,75,3,99,7,4,1,2,2,36,2,4,12,1,option #2: Abortion should only be allowed in special cases.
67,1410,2,1,62,3,4,2,1,1,1,1,12,1,7,20,2,option 2) Abortion should only be allowed in special cases.
68,4512,2,1,69,2,2,1,1,1,1,1,1,1,4,-9,3,Option #3: Abortion should be an option for women in any case.
69,3718,1,2,29,1,5,6,3,2,1,2,6,1,6,2,2,option two: Abortion should only be allowed in special cases.
70,167,1,1,50,3,6,7,2,2,1,2,26,10,4,-9,2,Abortion should only be allowed in special cases.
71,3873,2,2,48,4,4,4,2,1,1,1,24,3,3,10,3,option number two: Abortion should only be allowed in special cases.
72,964,1,2,46,3,2,2,1,2,1,1,46,10,8,17,3,option three: Abortion should be an option for women in any case.
73,4988,1,2,54,3,5,5,1,2,1,2,10,1,3,17,2,Abortion should only be allowed in special cases.
74,2209,1,1,34,3,2,2,2,2,1,1,59,2,7,20,3,option 3) Abortion should be an option for women in any case.
75,787,4,2,35,3,6,5,1,2,1,2,25,8,8,1,3,option 2) Abortion should only be allowed in special cases.
76,4823,1,2,29,3,3,2,2,2,1,1,51,1,6,17,3,option number three: Abortion should be an option for women in any case.
77,1084,1,1,73,3,6,7,1,1,1,2,39,12,1,5,2,option 1) Abortion should always be prohibited.
78,2513,1,1,64,2,6,6,3,1,1,2,27,1,2,11,2,abortion should only be allowed in special cases.
79,1321,1,2,56,2,5,5,3,1,1,2,27,2,4,17,2,"option two, that abortion should only be allowed in special cases."
80,1305,1,1,63,1,6,5,2,2,1,2,12,1,7,21,2,option 2) Abortion should only be allowed in special cases.
81,2574,1,1,69,2,7,7,3,1,2,2,27,11,2,17,2,option #1: Abortion should always be prohibited.
82,3674,1,2,29,1,5,7,1,1,1,2,45,11,2,4,1,option two: Abortion should only be allowed in special cases.
83,1672,1,1,60,4,2,1,2,1,1,1,26,1,3,15,3,3) Abortion should be an option for women in any case.
84,408,1,2,45,1,6,7,2,2,1,2,6,2,2,16,3,option 2) Abortion should only be allowed in special cases.
85,3095,4,2,67,3,3,3,2,1,1,2,45,2,1,6,3,Abortion should be an option for women in any case.
86,3867,1,2,45,4,6,7,3,1,1,2,26,1,6,17,1,option #1: Abortion should always be prohibited.
87,626,1,1,22,2,4,1,2,1,1,2,26,12,2,1,2,option number three: Abortion should be an option for women in any case. I believe that women should have the right to make decisions about their own bodies and reproductive health.
88,4060,1,1,59,3,7,7,1,1,1,2,5,1,6,17,1,option #1: Abortion should always be prohibited.
89,1188,1,2,78,3,2,1,1,2,1,1,34,5,5,7,3,option number three: Abortion should be an option for women in any case.
90,4151,1,-9,40,2,6,7,3,1,1,2,47,11,2,-9,1,option #2: Abortion should only be allowed in special cases.
91,79,1,2,60,1,4,6,2,2,1,1,42,1,3,17,3,I would choose option number two: Abortion should only be allowed in special cases.
92,3375,1,2,73,1,6,7,2,1,1,2,22,2,6,1,2,option 1) Abortion should always be prohibited.
93,3450,1,1,73,4,6,7,2,1,1,2,8,2,7,17,2,Option 1: Abortion should always be prohibited.
94,410,4,2,41,2,4,6,2,2,1,2,36,12,2,13,2,option 3) Abortion should be an option for women in any case.
95,1268,3,2,57,3,3,1,2,-9,1,1,6,2,7,16,3,option #3: Abortion should be an option for women in any case.
96,1662,1,2,43,4,4,2,2,1,1,1,48,1,6,18,2,option number two: Abortion should only be allowed in special cases.
97,4457,1,1,63,2,7,7,2,1,1,2,54,1,6,8,1,option number one: Abortion should always be prohibited.
