,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
0,1,2,52,3,4,5,2,1,39,2,6,20,1
1,2,1,27,4,99,1,2,0,18,11,2,1,0
2,1,2,67,2,6,7,2,1,20,1,6,-9,1
3,1,2,58,3,4,3,2,0,55,12,6,15,0
4,3,2,44,1,2,1,2,0,26,1,4,17,0
5,1,2,72,2,3,1,4,0,39,2,2,1,0
6,1,1,63,2,99,7,2,1,33,2,2,15,1
7,1,1,72,3,6,7,1,1,39,1,8,18,1
8,2,2,48,3,2,1,1,0,24,11,3,21,0
9,1,1,69,4,6,7,2,1,49,4,6,5,1
10,1,1,67,3,3,2,3,0,17,2,2,16,0
11,2,2,60,4,5,3,2,0,51,1,8,2,0
12,3,1,62,2,4,7,2,1,48,11,2,10,1
13,1,1,61,4,4,1,2,0,17,10,6,20,0
14,1,1,56,4,6,5,2,1,17,1,6,12,1
15,1,1,80,3,4,2,2,0,6,2,6,19,0
16,1,1,35,4,1,1,1,0,36,9,7,21,0
17,1,2,63,2,3,1,2,0,55,11,5,11,0
18,4,1,46,3,4,2,4,0,36,2,6,22,0
19,1,2,42,3,5,5,2,0,37,3,6,19,1
20,1,1,72,2,6,7,3,1,26,2,7,16,1
21,6,2,38,3,6,7,2,1,6,11,6,17,1
22,1,2,31,4,3,2,3,0,5,11,6,18,0
23,2,2,41,1,99,2,2,0,36,11,2,6,0
24,1,1,54,3,5,5,2,1,17,12,2,13,1
25,1,2,50,3,4,2,1,0,55,2,6,21,0
26,1,2,69,2,6,5,3,1,20,1,6,14,1
27,2,2,58,2,4,1,2,0,37,11,4,2,0
28,1,2,73,2,2,1,1,0,17,10,6,14,0
29,1,2,77,1,6,7,2,1,12,1,3,9,1
30,4,2,35,3,4,5,2,1,48,2,8,22,1
31,1,1,38,3,4,4,2,0,51,9,6,21,0
32,1,2,59,1,99,1,3,0,17,1,3,4,0
33,1,2,65,3,2,2,2,0,11,11,7,20,0
34,1,1,64,4,4,1,1,0,27,12,4,15,0
35,4,1,80,2,6,7,3,1,59,12,8,22,1
36,1,1,38,2,99,7,2,1,13,3,3,1,1
37,1,2,72,2,2,3,2,0,25,12,6,17,0
38,6,2,36,2,1,1,1,0,6,9,7,20,0
39,3,2,31,4,99,3,3,0,48,11,95,8,0
40,4,1,47,2,4,1,3,0,29,7,6,10,0
41,1,1,52,2,6,5,1,1,37,11,4,12,1
42,1,1,73,2,6,7,2,1,36,2,6,10,1
43,2,2,73,4,3,1,1,0,1,1,3,1,0
44,1,1,53,2,6,7,1,1,37,2,6,17,1
45,1,1,29,3,4,4,1,2,36,9,8,11,0
46,4,2,48,4,99,4,1,0,6,-9,3,21,0
47,1,1,80,4,3,1,1,0,48,1,7,15,0
48,1,2,63,1,7,7,4,1,23,11,2,22,1
49,1,1,63,2,3,3,2,0,23,2,6,-9,0
50,1,2,75,3,5,6,4,0,17,10,5,12,1
51,1,2,73,2,3,3,4,0,37,1,4,17,0
52,-9,-9,47,3,3,1,2,0,17,2,7,-9,0
53,1,2,51,4,7,6,3,1,48,1,6,16,1
54,6,2,59,4,4,5,2,1,24,2,3,17,1
55,1,1,63,3,3,1,2,0,36,2,3,11,0
56,1,2,66,3,6,7,1,1,6,1,5,16,1
57,1,1,69,4,2,3,1,0,18,10,6,2,0
58,1,2,26,3,99,7,3,1,29,12,3,16,1
59,3,2,24,2,4,1,2,0,48,2,4,17,0
60,1,2,65,3,2,1,1,0,17,12,6,15,0
61,2,1,44,4,4,2,3,0,12,11,2,17,0
62,1,1,69,4,2,1,2,0,18,9,6,8,0
63,1,2,69,3,2,1,2,0,34,2,7,20,0
64,3,1,45,3,4,2,2,0,6,2,8,22,0
65,3,1,37,4,2,4,2,0,18,11,2,10,0
66,1,1,75,3,99,7,4,1,36,2,4,12,1
67,2,1,62,3,4,2,1,0,12,1,7,20,0
68,2,1,69,2,2,1,1,0,1,1,4,-9,0
69,1,2,29,1,5,6,3,1,6,1,6,2,1
70,1,1,50,3,6,7,2,1,26,10,4,-9,1
71,2,2,48,4,4,4,2,0,24,3,3,10,0
72,1,2,46,3,2,2,1,0,46,10,8,17,0
73,1,2,54,3,5,5,1,1,10,1,3,17,1
74,1,1,34,3,2,2,2,0,59,2,7,20,0
75,4,2,35,3,6,5,1,1,25,8,8,1,1
76,1,2,29,3,3,2,2,0,51,1,6,17,0
77,1,1,73,3,6,7,1,1,39,12,1,5,1
78,1,1,64,2,6,6,3,1,27,1,2,11,1
79,1,2,56,2,5,5,3,1,27,2,4,17,1
80,1,1,63,1,6,5,2,1,12,1,7,21,1
81,1,1,69,2,7,7,3,1,27,11,2,17,1
82,1,2,29,1,5,7,1,1,45,11,2,4,1
83,1,1,60,4,2,1,2,0,26,1,3,15,0
84,1,2,45,1,6,7,2,1,6,2,2,16,1
85,4,2,67,3,3,3,2,1,45,2,1,6,0
86,1,2,45,4,6,7,3,1,26,1,6,17,1
87,1,1,22,2,4,1,2,1,26,12,2,1,0
88,1,1,59,3,7,7,1,1,5,1,6,17,1
89,1,2,78,3,2,1,1,0,34,5,5,7,0
90,1,-9,40,2,6,7,3,1,47,11,2,-9,1
91,1,2,60,1,4,6,2,0,42,1,3,17,1
92,1,2,73,1,6,7,2,1,22,2,6,1,1
93,1,1,73,4,6,7,2,1,8,2,7,17,1
94,4,2,41,2,4,6,2,1,36,12,2,13,1
95,3,2,57,3,3,1,2,0,6,2,7,16,0
96,1,2,43,4,4,2,2,0,48,1,6,18,0
97,1,1,63,2,7,7,2,1,54,1,6,8,1
98,1,2,73,3,5,7,2,1,22,2,3,1,1
99,5,1,48,3,4,6,1,0,59,8,7,22,0
100,1,2,80,3,6,7,2,1,26,1,2,1,1
101,6,2,23,1,2,3,2,0,24,9,3,22,0
102,1,1,55,3,6,7,2,1,36,1,2,22,1
103,1,2,30,4,5,4,2,1,18,11,6,10,0
104,3,2,43,3,4,2,2,0,8,2,6,21,0
105,1,1,73,3,5,5,2,1,42,2,4,10,1
106,1,2,38,1,4,7,3,1,42,1,5,9,1
107,4,2,30,3,4,5,2,0,6,8,8,22,0
108,1,2,79,4,4,1,2,0,47,1,7,14,0
109,1,2,58,3,2,3,3,0,27,1,6,22,0
110,1,1,80,3,6,7,2,1,42,2,6,1,1
111,1,2,34,4,2,3,2,0,42,11,6,10,0
112,1,1,51,2,1,2,1,0,27,9,7,22,0
113,1,1,71,4,2,1,1,0,29,10,6,5,0
114,6,2,54,4,1,3,1,0,9,10,3,10,0
115,1,2,66,4,6,7,2,1,51,1,7,14,1
116,1,2,63,1,4,1,1,0,36,11,6,22,0
117,1,2,27,3,2,6,3,1,47,12,6,2,1
118,1,2,50,3,3,3,3,0,24,12,7,11,0
119,1,2,51,2,3,2,2,0,53,1,6,10,0
120,1,2,65,3,6,5,4,1,36,1,5,10,1
121,1,1,59,2,4,2,3,1,34,2,2,20,0
122,1,1,51,1,99,2,3,1,21,11,4,12,0
123,1,2,26,4,1,3,2,2,6,12,5,5,0
124,1,1,54,2,4,6,2,0,18,1,4,15,1
125,1,2,68,3,99,1,1,0,34,1,2,21,0
126,1,1,37,2,6,7,2,1,22,12,3,1,1
127,1,2,28,4,5,5,2,2,38,12,3,13,1
128,1,1,76,3,4,5,2,0,55,2,7,19,0
129,1,1,66,2,6,7,2,1,25,1,6,20,1
130,1,2,78,4,2,1,1,0,6,1,7,20,0
131,1,1,46,4,1,1,1,0,17,9,3,22,0
