,sexo,edad,zona_u_r,gse,esc_nivel_1,info_enc_58,info_enc_30,religion_82,iden_pol_2,iden_pol_3,interes_pol_1_b,region_ANTOFAGASTA,region_ARAUCANÍA,region_ARICA Y PARINACOTA,region_ATACAMA,region_AYSÉN,region_BIOBÍO,region_COQUIMBO,region_LIBERTADOR BERNARDO OHIGGINS,region_LOS LAGOS,region_LOS RÍOS,region_MAGALLANES,region_MAULE,region_METROPOLITANA,region_TARAPACÁ,region_VALPARAÍSO,region_ÑUBLE,elec_pres_144_a,pred
0,2,40,1,3,3,2,0.0,9,8,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
1,2,54,1,3,6,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
2,2,39,1,2,8,2,0.0,1,10,13,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
3,1,21,1,2,7,2,0.0,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
4,2,19,1,2,4,2,0.0,9,6,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
5,2,36,1,1,8,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
6,1,34,1,2,4,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
7,2,42,1,3,3,2,0.0,9,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
8,1,21,1,4,3,2,0.0,10,5,17,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
9,2,35,1,4,7,1,5.0,11,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
10,1,51,1,2,5,2,0.0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
11,2,47,1,2,5,1,5.0,1,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
12,1,66,1,3,4,2,0.0,1,88,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.0
13,1,79,1,3,2,2,0.0,9,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
14,2,24,1,3,4,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
15,2,28,1,4,6,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
16,2,60,1,4,2,8,0.0,1,10,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0
17,1,23,1,3,7,1,5.0,9,3,15,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
18,2,60,1,3,2,2,0.0,3,88,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0
19,2,28,1,4,4,2,0.0,1,10,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0
20,1,57,1,3,6,2,0.0,1,5,21,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
21,2,52,1,2,6,2,0.0,4,10,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0
22,1,25,1,3,8,2,0.0,2,5,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0
23,1,46,1,4,4,2,0.0,2,5,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
24,1,55,1,3,8,2,0.0,2,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
25,2,33,1,3,6,1,5.0,9,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
26,1,28,1,3,4,2,0.0,1,99,19,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
27,1,52,1,3,2,2,0.0,2,88,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
28,2,57,1,2,4,2,0.0,1,88,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
29,1,69,1,3,3,2,0.0,1,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
30,1,68,1,3,9,2,0.0,1,5,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0
31,2,42,1,4,2,1,5.0,1,5,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
32,1,80,1,3,1,2,0.0,1,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
33,1,30,1,3,4,2,0.0,9,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
34,2,48,2,4,1,2,0.0,2,10,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
35,2,28,1,3,8,2,0.0,1,10,13,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
36,2,52,1,2,8,2,0.0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
37,1,25,1,2,8,2,0.0,9,3,21,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
38,2,31,1,4,4,2,0.0,2,10,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39,2,38,1,4,4,2,0.0,9,10,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
40,1,81,1,2,4,2,0.0,1,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
41,2,84,1,2,3,2,0.0,1,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
42,1,25,1,2,6,2,0.0,2,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
43,2,37,1,4,4,2,0.0,1,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
44,2,44,1,3,7,2,0.0,1,7,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
45,2,65,1,3,2,2,0.0,2,7,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
46,2,27,1,2,5,2,0.0,1,6,88,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
47,1,56,1,2,5,2,0.0,1,7,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
48,2,38,1,3,5,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0
49,2,66,1,3,4,2,0.0,1,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
50,1,32,1,2,8,2,0.0,9,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
51,2,33,1,3,4,2,0.0,9,88,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
52,1,51,1,2,8,2,0.0,1,8,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
53,1,39,1,1,8,1,5.0,9,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
54,1,65,1,2,8,2,0.0,1,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
55,1,65,1,3,4,2,0.0,99,5,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
56,2,64,1,4,4,2,0.0,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0
57,1,46,1,3,4,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0
58,2,42,1,2,5,2,0.0,2,1,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0
59,2,33,1,3,6,1,5.0,1,99,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
60,1,63,1,3,4,2,0.0,1,5,17,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
